Benchmark,cpu_0
623.xalancbmk_s-700B.out,1.698
657.xz_s-3167B.out,1.672
641.leela_s-800B.out,1.678
644.nab_s-5853B.out,2.693
628.pop2_s-17B.out,2.104
654.roms_s-842B.out,2.079
648.exchange2_s-1699B.out,2.293
631.deepsjeng_s-928B.out,1.525
605.mcf_s-665B.out,0.4518
649.fotonik3d_s-1176B.out,1.21
619.lbm_s-4268B.out,0.3004
600.perlbench_s-210B.out,1.903
621.wrf_s-575B.out,1.12
602.gcc_s-734B.out,2.053
603.bwaves_s-3699B.out,2.285
627.cam4_s-573B.out,1.392
638.imagick_s-10316B.out,3.857
607.cactuBSSN_s-2421B.out,1.071
625.x264_s-18B.out,2.931
620.omnetpp_s-874B.out,0.5849
