Benchmark,cpu_0,cpu_1,cpu_2,cpu_3
mix_12.out,2.294,2.953,1.873,2.026
mix_11.out,1.143,1.259,1.723,2.133
mix_0.out,2.166,1.718,1.534,2.155
mix_2.out,0.3586,2.797,1.296,1.513
mix_9.out,0.3088,1.185,0.3236,1.858
mix_7.out,0.6162,2.165,1.622,2.163
mix_6.out,0.6003,2.308,2.959,2.163
mix_3.out,0.3623,1.411,2.894,0.3646
mix_8.out,0.3014,1.439,1.448,2.157
mix_1.out,2.142,0.3813,1.236,0.4006
mix_14.out,2.051,0.2813,2.248,0.9756
mix_5.out,0.2586,1.168,1.434,2.162
mix_15.out,0.1096,2.209,0.8413,0.2589
mix_4.out,2.915,1.801,2.201,2.148
mix_13.out,0.1883,0.7547,0.8559,2.106
mix_10.out,0.2653,2.271,1.03,1.377
